=== SWANPASS REVIEW AUDIT REPORT ===
Date: 2026-03-08T08:39:00.761Z
Total listings: 454

LISTING                                                SOURCE_URL                                                    API_CT  BEFORE   AFTER  STATUS
---------------------------------------------------------------------------------------------------------------------------------------------------
the333-bangkok                                         https://swanpass.com/listing/the333-bangkok                       52      52      52  PASS
astro-bar                                              https://swanpass.com/listing/astro-bar                             7       7       7  PASS
the-underground                                        https://swanpass.com/listing/the-underground                      20      20      20  PASS
suwon-man-s-spa-bangkok                                https://swanpass.com/listing/suwon-man-s-spa-bangkok               1       1       1  PASS
baccara                                                https://swanpass.com/listing/baccara                             225     225     225  PASS
mclub                                                  https://swanpass.com/listing/mclub                               107     107     107  PASS
play-girlz-pattaya                                     https://swanpass.com/listing/play-girlz-pattaya                   14      14      14  PASS
cheree-spa                                             https://swanpass.com/listing/cheree-spa                            0       0       0  PASS
finspa                                                 https://swanpass.com/listing/finspa                                0       0       0  PASS
the-vip-massage-phuket                                 https://swanpass.com/listing/the-vip-massage-phuket                8       8       8  PASS
goddess-a-go-go                                        https://swanpass.com/listing/goddess-a-go-go                       0       0       0  PASS
suzy-wong-s-2-devil-s-playground                       https://swanpass.com/listing/suzy-wong-s-2-devil-s-playground      67      67      67  PASS
momoya-massage                                         https://swanpass.com/listing/momoya-massage                       21      21      21  PASS
luna-wow-massage-chiang-mai                            https://swanpass.com/listing/luna-wow-massage-chiang-mai          29      29      29  PASS
eric-s-bar                                             https://swanpass.com/listing/eric-s-bar                           84      84      84  PASS
aqua-entertainment                                     https://swanpass.com/listing/aqua-entertainment                   13      13      13  PASS
belle                                                  https://swanpass.com/listing/belle                                 0       0       0  PASS
phoenix-spa-rangsit                                    https://swanpass.com/listing/phoenix-spa-rangsit                   5       5       5  PASS
u-bar-korat                                            https://swanpass.com/listing/u-bar-korat                         240     240     240  PASS
sayuri-complex                                         https://swanpass.com/listing/sayuri-complex                      109     109     109  PASS
poseidon-entertainment-complex                         https://swanpass.com/listing/poseidon-entertainment-complex      230     230     230  PASS
wow-leelawadee                                         https://swanpass.com/listing/wow-leelawadee                        9       9       9  PASS
suzie-wong                                             https://swanpass.com/listing/suzie-wong                           47      47      47  PASS
bangkok-stocking-massage                               https://swanpass.com/listing/bangkok-stocking-massage             21      21      21  PASS
gig-spa-50                                             https://swanpass.com/listing/gig-spa-50                            2       0       2  PASS
the-lord                                               https://swanpass.com/listing/the-lord                             77      77      77  PASS
galaxy                                                 https://swanpass.com/listing/galaxy                               19      19      19  PASS
the-castle-bdsm-fetish-club                            https://swanpass.com/listing/the-castle-bdsm-fetish-club          17      17      17  PASS
meeting-club                                           https://swanpass.com/listing/meeting-club                          1       1       1  PASS
farenheit                                              https://swanpass.com/listing/farenheit                           144     144     144  PASS
boss-26-massage                                        https://swanpass.com/listing/boss-26-massage                      25      25      25  PASS
mermaid                                                https://swanpass.com/listing/mermaid                               0       0       0  PASS
fin-club-vx                                            https://swanpass.com/listing/fin-club-vx                           1       0       1  PASS
paco-club-19                                           https://swanpass.com/listing/paco-club-19                          9       9       9  PASS
